id,path,app,format,source,producer,producer_version,features,license_status,tier,expected_status,quarantine_reason,sha256,size_bytes,notes
pptx_chart_dense_203slides,corpus/pptx/pptx_chart_dense_203slides.pptx,powerpoint,pptx,private-source:f400e657c95818e2,Microsoft Macintosh PowerPoint,16.0000,office-native;large-deck;charts;media;embedded-workbooks;notes;comments,private-evaluation-only,stress,pass,,f400e657c95818e28398c3ab0da9b93649fb58fc6a99e7d54edbd8f51d8182ad,22369088,parts=2764; slides=203; layouts=12; masters=1; charts=1152; media=150; embeddings=398; notes=82; comments=1; private evaluation only; do not redistribute; private source redacted
pptx_report_344slides_multimedia,corpus/pptx/pptx_report_344slides_multimedia.pptx,powerpoint,pptx,private-source:4030eb87abb1ba99,Microsoft Macintosh PowerPoint,16.0000,office-native;large-deck;charts;media;embedded-workbooks;notes,private-evaluation-only,stress,pass,,4030eb87abb1ba997c6e2cc4b220d12acd2adc29b41f484fde37608900964301,50474990,parts=3722; slides=344; layouts=9; masters=1; charts=948; media=351; embeddings=320; notes=58; private evaluation only; do not redistribute; private source redacted
pptx_report_411slides_notes,corpus/pptx/pptx_report_411slides_notes.pptx,powerpoint,pptx,private-source:eb46378a34fcf263,Microsoft Macintosh PowerPoint,16.0000,office-native;large-deck;charts;media;embedded-workbooks;notes,private-evaluation-only,stress,pass,,eb46378a34fcf263d57c08d1fe1c145e9aa675219c2d991933adacc34e9422f0,30379055,parts=2490; slides=411; layouts=9; masters=1; charts=588; media=212; embeddings=206; notes=160; private evaluation only; do not redistribute; private source redacted
pptx_multimaster_136slides,corpus/pptx/pptx_multimaster_136slides.pptx,powerpoint,pptx,private-source:33211e337cc6154a,Microsoft Macintosh PowerPoint,16.0000,office-native;large-deck;charts;media;embedded-workbooks;notes;multi-master;many-layouts,private-evaluation-only,extended,pass,,33211e337cc6154a0e0309c3d7d02cd70f9922d7a17dd52da976a9da426c198d,20523273,parts=1465; slides=136; layouts=33; masters=2; charts=461; media=188; embeddings=154; notes=46; private evaluation only; do not redistribute; private source redacted
pptx_finance_diagram_charts,corpus/pptx/pptx_finance_diagram_charts.pptx,powerpoint,pptx,private-source:040258c95a9bdef8,Microsoft Macintosh PowerPoint,16.0000,office-native;large-deck;charts;diagrams;media;embedded-workbooks;notes;many-layouts,private-evaluation-only,extended,pass,,040258c95a9bdef84f93f3479d5a6181c88a1dee7fdcfd7fc7d3e2c5249daacd,24345145,parts=1495; slides=180; layouts=18; masters=1; charts=333; diagrams=5; media=123; embeddings=113; notes=10; private evaluation only; do not redistribute; private source redacted
pptx_report_160slides,corpus/pptx/pptx_report_160slides.pptx,powerpoint,pptx,private-source:221274bff6e9004a,Microsoft Macintosh PowerPoint,16.0000,office-native;large-deck;charts;media;embedded-workbooks;notes,private-evaluation-only,extended,pass,,221274bff6e9004a665b738e2fabb3f7055f06d6a8d374248686a7d41e966a69,19950456,parts=1100; slides=160; layouts=9; masters=1; charts=336; media=107; embeddings=118; notes=30; private evaluation only; do not redistribute; private source redacted
docx_annual_report_headers_media,corpus/docx/docx_annual_report_headers_media.docx,word,docx,private-source:2dd6a737d892d4d1,WPS Office_3.6.0.5672_F1E327BC-269C-435d-A152-05C5408002CA,not-declared,office-native;many-sections;headers;footers;media;customxml;track-changes;content-controls;fields,private-evaluation-only,stress,pass,,2dd6a737d892d4d1101b6e9190b0631cb455e39040d17527926b030d494329ca,2532648,parts=404; headers=51; footers=57; media=282; customXml=2; numbering=1; styles=1; sections=277; sdt=4; track_changes=7568; fields=104; private evaluation only; do not redistribute; private source redacted
docx_media_dense_case,corpus/docx/docx_media_dense_case.docx,word,docx,private-source:fbd7ce26952276e5,WPS Office_3.6.0.5672_F1E327BC-269C-435d-A152-05C5408002CA,not-declared,office-native;media;customxml,private-evaluation-only,stress,quarantine,Word repair dialog: unreadable content,fbd7ce26952276e5e70b395c5a85d79d384794cc4de6998596e4623237bc7923,1035210,parts=331; media=313; customXml=2; styles=1; sections=1; private evaluation only; do not redistribute; private source redacted
docx_budget_embedded_objects,corpus/docx/docx_budget_embedded_objects.docx,word,docx,private-source:21c23ce8c14e93af,WPS Office_3.6.0.5672_F1E327BC-269C-435d-A152-05C5408002CA,not-declared,office-native;headers;footers;media;embedded-objects;customxml;track-changes;content-controls;fields,private-evaluation-only,extended,pass,,21c23ce8c14e93af1f825461c03d570c2871043d426d9a6b2a80b1ef7fcc165e,2552615,parts=55; headers=3; footers=2; media=29; embeddings=8; customXml=2; numbering=1; styles=1; sections=2; sdt=4; track_changes=321; fields=924; private evaluation only; do not redistribute; private source redacted
docx_policy_embedded_objects,corpus/docx/docx_policy_embedded_objects.docx,word,docx,private-source:b33d4e7fc0ede509,WPS Office_3.6.0.5672_F1E327BC-269C-435d-A152-05C5408002CA,not-declared,office-native;headers;footers;media;embedded-objects;customxml;track-changes,private-evaluation-only,extended,pass,,b33d4e7fc0ede50967934f4557ebfd550198f0b580263cf0c5d2b09d9181d7a0,444042,parts=44; headers=5; footers=6; media=9; embeddings=11; customXml=2; numbering=1; styles=1; sections=9; track_changes=296; private evaluation only; do not redistribute; private source redacted
docx_layout_media_large,corpus/docx/docx_layout_media_large.docx,word,docx,private-source:824c4d2df1f3cbe2,Microsoft Office Word,15.0000,office-native;footers;footnotes;endnotes;media;large-docx,private-evaluation-only,stress,pass,,824c4d2df1f3cbe2ccb8b2c70090b2cb27a73127b8066e0099af0a0da0fe0eca,42272993,parts=35; footers=1; footnotes=1; endnotes=1; media=19; numbering=1; styles=1; sections=1; private evaluation only; do not redistribute; private source redacted
docx_newspaper_customxml,corpus/docx/docx_newspaper_customxml.docx,word,docx,private-source:8a85b9603d6d3c98,Microsoft Office Word,15.0000,office-native;footers;footnotes;endnotes;media;customxml;content-controls;large-docx,private-evaluation-only,extended,pass,,8a85b9603d6d3c982dfad4a8ee72cce73e656749226fc6f2c44ccd3665a31d2b,17139583,parts=41; footers=2; footnotes=1; endnotes=1; media=6; customXml=8; styles=1; sections=1; sdt=68; private evaluation only; do not redistribute; private source redacted
pptx_bgy_sales_recommendation,corpus/pptx/pptx_bgy_sales_recommendation.pptx,powerpoint,pptx,private-source:94f72c52474b259e,Microsoft Office PowerPoint,15.0000,office-native;diagrams;media;notes;comments,private-evaluation-only,smoke,pass,,94f72c52474b259e5601ccc3a8a7782a4c3a6117e2a08f8c9b5d9ae22e81e355,4326334,parts=523; slides=90; layouts=3; masters=1; diagrams=110; media=31; notes=34; comments=1; private evaluation only; do not redistribute; private source redacted
pptx_bgy_standard_sales_flow,corpus/pptx/pptx_bgy_standard_sales_flow.pptx,powerpoint,pptx,private-source:e62de5edb9dac6ae,Microsoft Office PowerPoint,14.0000,office-native;charts;diagrams;media;embedded-workbooks;notes,private-evaluation-only,smoke,pass,,e62de5edb9dac6ae480f8b8e2e75a2342ef1edd66130f5efc8c0e6c4ba5fbe79,1566918,parts=276; slides=44; layouts=11; masters=1; charts=1; diagrams=125; media=7; embeddings=1; notes=6; private evaluation only; do not redistribute; private source redacted
pptx_leadership_execution_119slides,corpus/pptx/pptx_leadership_execution_119slides.pptx,powerpoint,pptx,private-source:0f652ccb722df81d,Microsoft Office PowerPoint,16.0000,office-native;large-deck;charts;diagrams;media;embedded-workbooks;notes,private-evaluation-only,nightly,pass,,0f652ccb722df81deb3f81f77ecaa71df79a4c394a9618b034be51a650895006,8856649,parts=494; slides=119; layouts=12; masters=1; charts=2; diagrams=85; media=99; embeddings=10; notes=5; private evaluation only; do not redistribute; private source redacted
pptx_structured_thinking_52slides,corpus/pptx/pptx_structured_thinking_52slides.pptx,powerpoint,pptx,private-source:0c1db68a42d494d6,Microsoft Office PowerPoint,16.0000,office-native;diagrams;media;multi-master;many-layouts,private-evaluation-only,smoke,pass,,0c1db68a42d494d69b3f88c68cce6c1fb7976d9f34079ecea87fecc903f33eb9,1575300,parts=583; slides=52; layouts=166; masters=16; diagrams=75; media=14; private evaluation only; do not redistribute; private source redacted
pptx_update_241030_charts,corpus/pptx/pptx_update_241030_charts.pptx,powerpoint,pptx,private-source:321245a0ad809a36,Microsoft Macintosh PowerPoint,16.0000,office-native;charts;media;embedded-workbooks,private-evaluation-only,smoke,pass,,321245a0ad809a366449a27527d4591bb9cff55d8c8b904b018e0bd7b2aebfe4,2992043,parts=549; slides=57; layouts=9; masters=1; charts=148; media=22; embeddings=50; private evaluation only; do not redistribute; private source redacted
pptx_original_model_framework,corpus/pptx/pptx_original_model_framework.pptx,powerpoint,pptx,private-source:8bf3d30bb8d09736,Microsoft Macintosh PowerPoint,16.0000,office-native;large-deck;charts;media;embedded-workbooks;notes,private-evaluation-only,nightly,pass,,8bf3d30bb8d0973623b5b2d0ff9f106d2688918bb4a7054ca89ba833c88c8134,13249100,parts=3379; slides=304; layouts=5; masters=1; charts=1; media=158; embeddings=1; notes=40; private evaluation only; do not redistribute; private source redacted
pptx_smart_goal_training,corpus/pptx/pptx_smart_goal_training.pptx,powerpoint,pptx,private-source:39dd61b7b2ff1efd,WPS 演示,14.0000,office-native;media,private-evaluation-only,nightly,pass,,39dd61b7b2ff1efd4f4f8ff28ea275938702f2a4fc2faf2f6646114a7389a81f,1581437,parts=127; slides=23; layouts=11; masters=1; media=11; private evaluation only; do not redistribute; private source redacted
